algorithm,n,cells,time_ms,memory_mb,operations,cost
Forca Bruta,3,9,0.07415700019919313,0.0009918212890625,25,96.32886353126932
DP Bottom-Up,3,9,0.1407629997629556,0.0008096694946289062,9,96.32886353126932
DP Top-Down,3,9,0.12016299979222822,0.0023355484008789062,13,96.32886353126932
Monte Carlo + DP,3,9,1.5675820000069507,0.28280162811279297,9000,56.772968981452884
Forca Bruta,5,25,0.5189980001887307,0.00133514404296875,295,160.3298455107629
DP Bottom-Up,5,25,0.27189999991605873,0.0009317398071289062,25,160.3298455107629
DP Top-Down,5,25,0.21196600027906243,0.0034494400024414062,33,160.3298455107629
Monte Carlo + DP,5,25,3.0100389999461186,0.7664880752563477,25000,96.35677547560478
Forca Bruta (estimada),10,100,,0.0,48620,
DP Bottom-Up,10,100,0.8549590002076002,0.0015726089477539062,100,332.96565302971504
DP Top-Down,10,100,0.5248659999779193,0.00930023193359375,118,332.96565302971504
Monte Carlo + DP,10,100,10.22945799968511,3.058238983154297,100000,182.5137965280309
Forca Bruta (estimada),20,400,,0.0,35345263800,
DP Bottom-Up,20,400,2.9298070003278553,0.004014015197753906,400,667.2028000368437
DP Top-Down,20,400,2.477344999988418,0.052529335021972656,438,667.2028000368437
Monte Carlo + DP,20,400,43.71606899985636,12.225334167480469,400000,351.8462823859616
Forca Bruta (estimada),50,2500,,0.0,1000000000000,
DP Bottom-Up,50,2500,17.327092999948945,0.020554542541503906,2500,1698.5716875274975
DP Top-Down,50,2500,22.275605999766412,0.27903079986572266,2596,1698.5716875274975
Monte Carlo + DP,50,2500,103.79166200027612,15.359111785888672,500000,891.0465245536805
Forca Bruta (estimada),100,10000,,0.0,1000000000000,
DP Bottom-Up,100,10000,69.73124499972982,0.0838174819946289,10000,3386.8480112144825
DP Top-Down,100,10000,114.6514339998248,1.1227807998657227,10188,3386.8480112144825
Monte Carlo + DP,100,10000,443.4650290004356,61.428733825683594,2000000,1785.9298223405917
